Benchmark,Shape,Method,Time(ms),TuningTime(s),Speedup
conv2d,"input: (1, 3, 32, 32), out: (16, 3, 3, 3)",torch,0.10306000000000001,0.0,1.0
conv2d,"input: (1, 3, 32, 32), out: (16, 3, 3, 3)",triton,0.36489000000000005,6.3844,0.282
conv2d,"input: (1, 3, 32, 32), out: (16, 3, 3, 3)",tvm,0.07546499999999998,0.0,1.366
conv2d,"input: (1, 3, 32, 32), out: (16, 3, 3, 3)",hidet,8.197149999999999,0.0,0.013
conv2d,"input: (1, 3, 32, 32), out: (16, 3, 3, 3)",ansor,0.05093500000000001,78.0533,2.023
conv2d,"input: (1, 3, 64, 64), out: (32, 3, 3, 3)",torch,0.4538649999999999,0.0,1.0
conv2d,"input: (1, 3, 64, 64), out: (32, 3, 3, 3)",triton,0.39192,4.8917,1.158
conv2d,"input: (1, 3, 64, 64), out: (32, 3, 3, 3)",tvm,0.5783,0.0,0.785
conv2d,"input: (1, 3, 64, 64), out: (32, 3, 3, 3)",hidet,9.283745,0.0,0.049
conv2d,"input: (1, 3, 64, 64), out: (32, 3, 3, 3)",ansor,0.188435,74.4134,2.409
conv2d,"input: (1, 64, 56, 56), out: (64, 64, 3, 3)",torch,0.5071150000000001,0.0,1.0
conv2d,"input: (1, 64, 56, 56), out: (64, 64, 3, 3)",triton,2.29667,5.8856,0.221
conv2d,"input: (1, 64, 56, 56), out: (64, 64, 3, 3)",tvm,114.96458999999999,0.0,0.004
conv2d,"input: (1, 64, 56, 56), out: (64, 64, 3, 3)",hidet,12.848205,0.0,0.039
conv2d,"input: (1, 64, 56, 56), out: (64, 64, 3, 3)",ansor,1.2152950000000002,76.3047,0.417
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",torch,25.343424999999996,0.0,1.0
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",triton,16.539985,12.7437,1.532
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",tvm,816.972945,0.0,0.310
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",hidet,54.239985,0.0,0.467
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",ansor,22.80732,99.7671,1.111
conv2d,"input: (8, 3, 224, 224), out: (64, 3, 7, 7)",OUR,16.0482716,2.8578,1.579
