Benchmark,Shape,Method,Time(s),TuningTime(s),Speedup
matmul,"(64, 64, 64)",torch,3.551433794200421e-05,0.0,1.0
matmul,"(64, 64, 64)",hidet,0.0007390075363218785,0.0,0.0481
matmul,"(64, 64, 64)",tvm,0.00010918890126049519,0.0,0.3253
matmul,"(64, 64, 64)",triton,0.0003893947694450617,6.460487996228039,0.0912
matmul,"(64, 64, 64)",autotvm,0.0001012179721146822,8.510798283852637,0.3509
matmul,"(64, 64, 64)",ansor,5.8191092684865e-05,27.524031123146415,0.6103
matmul,"(128, 128, 128)",torch,0.010766650093719363,0.0,1.0
matmul,"(128, 128, 128)",hidet,0.009567487891763449,0.0,1.1253
matmul,"(128, 128, 128)",tvm,0.000300920782610774,0.0,35.779
matmul,"(128, 128, 128)",triton,0.010465622888877988,7.835440441966057,1.0288
matmul,"(128, 128, 128)",autotvm,0.00026990080252289775,8.993053507059813,39.8911
matmul,"(128, 128, 128)",ansor,5.6157223880290986e-05,24.60481906775385,191.7233
matmul,"(256, 256, 256)",torch,0.01107320999726653,0.0,1.0
matmul,"(256, 256, 256)",hidet,0.010194542910903692,0.0,1.0862
matmul,"(256, 256, 256)",tvm,0.0022275171894580127,0.0,4.9711
matmul,"(256, 256, 256)",triton,0.00023039571009576322,6.031360989436507,48.0617
matmul,"(256, 256, 256)",autotvm,0.0004232970904558897,9.818093569017947,26.1594
matmul,"(256, 256, 256)",ansor,0.0002122127916663885,32.43644734751433,52.1797
matmul,"(256, 256, 256)",OUR,0.0002094757068449897,1.182619801850295,52.8615
