benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 4)",0.0134839,1.7828
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 8)",0.0129779,1.8523
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 16)",0.0124564,1.9299
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 32)",0.0128267,1.8742
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 4)",0.0127162,1.8905
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 8)",0.0125856,1.9101
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 16)",0.0125913,1.9092
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 32)",0.0121873,1.9725
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 4)",0.0125476,1.9159
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 8)",0.0119365,2.0139
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 16)",0.0125887,1.9096
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 32)",0.0128606,1.8692
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 4)",0.0122997,1.9545
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 8)",0.0126086,1.9066
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 16)",0.0162943,1.4753
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 32)",0.0125045,1.9225
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 4)",0.0130779,1.8382
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 8)",0.0125618,1.9137
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 16)",0.0127437,1.8864
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 32)",0.0126766,1.8964
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 4)",0.0125802,1.9109
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 8)",0.0124953,1.9239
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 16)",0.01689,1.4233
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 32)",0.0123277,1.95
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 4)",0.0120844,1.9893
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 8)",0.012603,1.9074
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 16)",0.0123958,1.9393
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 32)",0.0126028,1.9075
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 4)",0.012307,1.9533
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 8)",0.0122474,1.9628
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 16)",0.0150122,1.6013
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 32)",0.012279,1.9578
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 4)",0.0125362,1.9176
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 8)",0.0127116,1.8911
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 16)",0.0241392,0.9959
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 32)",0.0174739,1.3757
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 4)",0.0124541,1.9302
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 8)",0.0124176,1.9359
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 16)",0.0218259,1.1014
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 32)",0.0125222,1.9197
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 4)",0.012364,1.9443
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 8)",0.0139698,1.7208
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 16)",0.0125235,1.9195
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 32)",0.0123595,1.945
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 4)",0.0118549,2.0278
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 8)",0.0118871,2.0223
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 16)",0.0123272,1.9501
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 32)",0.0153215,1.569
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 4)",0.012945,1.857
