benchmark,shape,T1_best_param,T2_best_param,T4_best_param,T8_best_param,our_chosen_param,triton_default_param,p2_speedup,our_best_speedup,extra_time_cost_with_triton_default_param
matmul,"(32, 32, 32)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)",1.3315,1.3315,0.0
matmul,"(64, 64, 64)","(4, 8, 4)","(4, 8, 4)","(4, 8, 16)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)",2.6166,2.6166,0.0
matmul,"(128, 128, 128)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)",7.0019,7.0019,0.0
softmax,"(32, 64)","(64, 16)","(64, 16)","(64, 8)","(64, 16)","(64, 16)","(64, 16)",1.3113,1.3113,0.0
softmax,"(128, 64)","(64, 32)","(64, 32)","(64, 32)","(64, 32)","(64, 32)","(64, 32)",1.5137,1.5137,0.0
softmax,"(128, 256)","(256, 8)","(256, 8)","(256, 8)","(256, 4)","(256, 4)","(256, 8)",3.1002,3.1115,0.3644926133797776
conv2d,"(1, 1, 32, 32)","(1, 4)","(1, 4)","(1, 32)","(4, 8)","(1, 4)","(1, 4)",1.0953,1.0953,0.0
conv2d,"(4, 4, 32, 32)","(2, 2)","(2, 2)","(2, 8)","(1, 4)","(2, 8)","(2, 2)",1.0394,1.079,3.8098903213392203
conv2d,"(4, 4, 64, 64)","(1, 4)","(1, 4)","(2, 8)","(1, 8)","(1, 8)","(1, 4)",1.7019,1.724,1.2985486808860691
layernorm,"(64, 64)","(4,)","(4,)","(4,)","(4,)","(4,)","(4,)",1.1196,1.1196,0.0
layernorm,"(256, 256)","(8,)","(8,)","(8,)","(8,)","(8,)","(8,)",2.3619,2.3619,0.0
layernorm,"(1024, 1024)","(8,)","(8,)","(8,)","(16,)","(16,)","(8,)",5.9817,6.14,2.6464048681812806
dropout,"(512,)","(1024, 32)","(1024, 32)","(1024, 8)","(1024, 4)","(1024, 32)","(1024, 32)",1.1472,1.1472,0.0
dropout,"(1024,)","(1024, 8)","(1024, 8)","(1024, 8)","(1024, 8)","(1024, 8)","(1024, 8)",1.2507,1.2507,0.0
dropout,"(2048,)","(256, 8)","(256, 8)","(256, 4)","(64, 8)","(256, 4)","(256, 8)",0.9187,0.9292,1.1429193425492614
rope,"(64, 4, 4, 256)","(4,)","(4,)","(4,)","(64,)","(64,)","(4,)",4.0845,4.8333,18.332721263312525
rope,"(256, 1, 4, 256)","(4,)","(4,)","(4,)","(64,)","(64,)","(4,)",3.631,4.1954,15.543927292756829
rope,"(256, 4, 4, 64)","(4,)","(4,)","(4,)","(32,)","(32,)","(4,)",2.9996,3.6362,21.222829710628087
