benchmark,shape,T1_best_param,T2_best_param,T4_best_param,T8_best_param,our_chosen_param,triton_default_param,p2_speedup,our_best_speedup,extra_time_cost_with_triton_default_param
matmul,"(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)",14.283,14.283,0.0
matmul,"(64, 64, 64)","(32, 16, 8)","(32, 16, 8)","(32, 16, 16)","(16, 32, 32)","(32, 16, 16)","(32, 16, 8)",0.891,1.0777,20.95398428731763
matmul,"(128, 128, 128)","(32, 16, 8)","(32, 16, 8)","(32, 32, 16)","(32, 8, 4)","(32, 8, 4)","(32, 16, 8)",2.4915,2.62,5.1575356211117915
softmax,"(32, 64)","(64, 16)","(64, 16)","(64, 64)","(64, 16)","(64, 16)","(64, 16)",1.2404,1.2404,0.0
softmax,"(128, 64)","(64, 16)","(64, 16)","(64, 32)","(256, 64)","(256, 64)","(64, 16)",1.0682,1.1852,10.953005055233103
softmax,"(128, 256)","(256, 128)","(256, 128)","(256, 32)","(64, 8)","(64, 8)","(256, 128)",1.5715,1.7267,9.875914731148585
conv2d,"(1, 1, 32, 32)","(1, 2)","(1, 2)","(2, 4)","(1, 4)","(1, 2)","(1, 2)",1.1282,1.1282,0.0
conv2d,"(4, 4, 32, 32)","(2, 16)","(2, 16)","(1, 32)","(1, 16)","(2, 16)","(2, 16)",1.9956,1.9956,0.0
conv2d,"(4, 4, 64, 64)","(1, 16)","(1, 16)","(1, 16)","(2, 4)","(1, 16)","(1, 16)",1.142,1.142,0.0
layernorm,"(64, 64)","(4,)","(4,)","(8,)","(4,)","(4,)","(4,)",3.8679,3.8679,0.0
layernorm,"(256, 256)","(32,)","(32,)","(64,)","(8,)","(8,)","(32,)",1.3881,1.5152,9.15640083567468
layernorm,"(1024, 1024)","(16,)","(16,)","(16,)","(32,)","(32,)","(16,)",2.8492,4.4599,56.53165800926575
dropout,"(512,)","(1024, 64)","(1024, 64)","(1024, 32)","(1024, 4)","(1024, 4)","(1024, 64)",4.725,9.3002,96.82962962962965
dropout,"(1024,)","(1024, 64)","(1024, 64)","(1024, 32)","(1024, 16)","(1024, 32)","(1024, 64)",8.1303,11.7836,44.93438126514396
dropout,"(2048,)","(4096, 16)","(4096, 16)","(4096, 32)","(4096, 32)","(4096, 16)","(4096, 16)",8.9412,8.9412,0.0
rope,"(64, 4, 4, 256)","(32,)","(32,)","(64,)","(8,)","(8,)","(32,)",2.3131,2.3474,1.4828585015779687
rope,"(256, 1, 4, 256)","(32,)","(32,)","(128,)","(32,)","(32,)","(32,)",2.4757,2.4757,0.0
rope,"(256, 4, 4, 64)","(16,)","(16,)","(32,)","(32,)","(32,)","(16,)",2.0074,2.0146,0.3586729102321458
