benchmark,shape,strategy,speedup
matmul,"(32, 32, 32)",triton,5.9496
matmul,"(32, 32, 32)",OUR,6.0065
matmul,"(64, 64, 64)",triton,9.988
matmul,"(64, 64, 64)",OUR,10.8354
matmul,"(128, 128, 128)",triton,2.4857
matmul,"(128, 128, 128)",OUR,2.5483
dropout,"(1024,)",triton,16.7159
dropout,"(1024,)",OUR,17.0603
dropout,"(4096,)",triton,12.2698
dropout,"(4096,)",OUR,12.2698
dropout,"(16384,)",triton,7.9466
dropout,"(16384,)",OUR,9.6585
correlation,"(16, 16, 64, 64)",triton,2.0013
correlation,"(16, 16, 64, 64)",OUR,2.2474
correlation,"(32, 32, 64, 64)",triton,4.4091
correlation,"(32, 32, 64, 64)",OUR,4.4091
correlation,"(64, 64, 64, 64)",triton,4.521
correlation,"(64, 64, 64, 64)",OUR,4.521
layernorm,"(64, 64)",triton,1.5861
layernorm,"(64, 64)",OUR,2.2874
layernorm,"(256, 256)",triton,1.1363
layernorm,"(256, 256)",OUR,1.2352
layernorm,"(1024, 1024)",triton,4.6242
layernorm,"(1024, 1024)",OUR,4.6242
softmax,"(32, 1024)",triton,2.5839
softmax,"(32, 1024)",OUR,3.2767
softmax,"(128, 1024)",triton,3.342
softmax,"(128, 1024)",OUR,3.5328
softmax,"(512, 1024)",triton,4.5562
softmax,"(512, 1024)",OUR,4.6664
