benchmark,shape,T1_best_param,T2_best_param,T4_best_param,T8_best_param,T1_best_speedup,T2_best_speedup,T4_best_speedup,T8_best_speedup,our_best_thread,our_best_param,our_best_speedup
matmul,"(32, 32, 32)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)","(32, 32, 4)",1.2654,1.2654,1.2806,1.3315,8,"(32, 32, 4)",1.3315
matmul,"(64, 64, 64)","(4, 8, 4)","(4, 8, 4)","(4, 8, 16)","(4, 8, 4)",1.3289,1.3289,2.3715,2.6166,8,"(4, 8, 4)",2.6166
matmul,"(128, 128, 128)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)","(4, 8, 4)",1.4174,1.4174,4.3555,7.0019,8,"(4, 8, 4)",7.0019
dropout,"(512,)","(1024, 32)","(1024, 32)","(1024, 8)","(1024, 4)",1.1472,1.1472,1.1262,1.1461,1,"(1024, 32)",1.1472
dropout,"(1024,)","(1024, 8)","(1024, 8)","(1024, 8)","(1024, 8)",1.2334,1.2334,1.2507,1.2388,4,"(1024, 8)",1.2507
dropout,"(2048,)","(256, 8)","(256, 8)","(256, 4)","(64, 8)",0.7689,0.7689,0.9292,0.8359,4,"(256, 4)",0.9292
correlation,"(1, 1, 32, 32)","(1, 4)","(1, 4)","(1, 32)","(4, 8)",1.0953,1.0953,0.9051,0.7504,1,"(1, 4)",1.0953
correlation,"(4, 4, 32, 32)","(2, 2)","(2, 2)","(2, 8)","(1, 4)",1.031,1.031,1.079,0.9756,4,"(2, 8)",1.079
correlation,"(4, 4, 64, 64)","(1, 4)","(1, 4)","(2, 8)","(1, 8)",1.0376,1.0376,1.5212,1.724,8,"(1, 8)",1.724
layernorm,"(64, 64)","(4,)","(4,)","(4,)","(4,)",1.1196,1.1196,0.9842,0.814,1,"(4,)",1.1196
layernorm,"(256, 256)","(8,)","(8,)","(8,)","(8,)",1.4354,1.4354,2.2431,2.3619,8,"(8,)",2.3619
layernorm,"(1024, 1024)","(8,)","(8,)","(8,)","(16,)",1.485,1.485,4.5027,6.14,8,"(16,)",6.14
resize,"(32, 32, 1)","(4,)","(4,)","(4,)","(4,)",0.938,0.938,1.9843,2.1837,8,"(4,)",2.1837
resize,"(32, 128, 1)","(4,)","(4,)","(4,)","(4,)",0.939,0.939,2.9286,4.3109,8,"(4,)",4.3109
resize,"(64, 128, 1)","(4,)","(4,)","(4,)","(4,)",0.9353,0.9353,3.2686,5.3741,8,"(4,)",5.3741
rope,"(64, 4, 4, 256)","(4,)","(4,)","(4,)","(64,)",0.8336,0.8336,2.8495,4.8333,8,"(64,)",4.8333
rope,"(256, 1, 4, 256)","(4,)","(4,)","(4,)","(64,)",0.7439,0.7439,2.5672,4.1954,8,"(64,)",4.1954
rope,"(256, 4, 4, 64)","(4,)","(4,)","(4,)","(32,)",0.6198,0.6198,2.3054,3.6362,8,"(32,)",3.6362
