benchmark,shape,strategy,speedup
matmul,"(32, 32, 32)",clang,1.0
matmul,"(32, 32, 32)",triton,14.283
matmul,"(32, 32, 32)",OUR,14.283
matmul,"(64, 64, 64)",clang,1.0
matmul,"(64, 64, 64)",triton,0.891
matmul,"(64, 64, 64)",OUR,1.0777
matmul,"(128, 128, 128)",clang,1.0
matmul,"(128, 128, 128)",triton,2.4915
matmul,"(128, 128, 128)",OUR,2.62
softmax,"(32, 64)",clang,1.0
softmax,"(32, 64)",triton,1.2404
softmax,"(32, 64)",OUR,1.2404
softmax,"(128, 64)",clang,1.0
softmax,"(128, 64)",triton,1.0682
softmax,"(128, 64)",OUR,1.1852
softmax,"(128, 256)",clang,1.0
softmax,"(128, 256)",triton,1.5715
softmax,"(128, 256)",OUR,1.7267
conv2d,"(1, 1, 32, 32)",clang,1.0
conv2d,"(1, 1, 32, 32)",triton,1.1282
conv2d,"(1, 1, 32, 32)",OUR,1.1282
conv2d,"(4, 4, 32, 32)",clang,1.0
conv2d,"(4, 4, 32, 32)",triton,1.9956
conv2d,"(4, 4, 32, 32)",OUR,1.9956
conv2d,"(4, 4, 64, 64)",clang,1.0
conv2d,"(4, 4, 64, 64)",triton,1.142
conv2d,"(4, 4, 64, 64)",OUR,1.142
layernorm,"(64, 64)",clang,1.0
layernorm,"(64, 64)",triton,3.8679
layernorm,"(64, 64)",OUR,3.8679
layernorm,"(256, 256)",clang,1.0
layernorm,"(256, 256)",triton,1.3881
layernorm,"(256, 256)",OUR,1.5152
layernorm,"(1024, 1024)",clang,1.0
layernorm,"(1024, 1024)",triton,2.8492
layernorm,"(1024, 1024)",OUR,4.4599
dropout,"(512,)",clang,1.0
dropout,"(512,)",triton,4.725
dropout,"(512,)",OUR,9.3002
dropout,"(1024,)",clang,1.0
dropout,"(1024,)",triton,8.1303
dropout,"(1024,)",OUR,11.7836
dropout,"(2048,)",clang,1.0
dropout,"(2048,)",triton,8.9412
dropout,"(2048,)",OUR,8.9412
rope,"(64, 4, 4, 256)",clang,1.0
rope,"(64, 4, 4, 256)",triton,2.3131
rope,"(64, 4, 4, 256)",OUR,2.3474
rope,"(256, 1, 4, 256)",clang,1.0
rope,"(256, 1, 4, 256)",triton,2.4757
rope,"(256, 1, 4, 256)",OUR,2.4757
rope,"(256, 4, 4, 64)",clang,1.0
rope,"(256, 4, 4, 64)",triton,2.0074
rope,"(256, 4, 4, 64)",OUR,2.0146
