benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(16, 16, 16, 10)",triton,1,"(4, 4, 8)",0.0290775,0.3572
matmul,"(16, 16, 16, 10)",triton,1,"(4, 4, 16)",0.010845,0.9577
matmul,"(16, 16, 16, 10)",triton,1,"(4, 4, 32)",0.0112967,0.9194
matmul,"(16, 16, 16, 10)",triton,1,"(4, 4, 64)",0.0109809,0.9459
matmul,"(16, 16, 16, 10)",triton,1,"(4, 4, 128)",0.0145569,0.7135
matmul,"(16, 16, 16, 10)",triton,1,"(4, 8, 8)",0.011023,0.9423
matmul,"(16, 16, 16, 10)",triton,1,"(4, 8, 16)",0.0441598,0.2352
matmul,"(16, 16, 16, 10)",triton,1,"(4, 8, 32)",0.0127497,0.8147
matmul,"(16, 16, 16, 10)",triton,1,"(4, 8, 64)",0.011034,0.9413
matmul,"(16, 16, 16, 10)",triton,1,"(4, 16, 8)",0.0277724,0.374
matmul,"(16, 16, 16, 10)",triton,1,"(4, 16, 16)",0.010976,0.9463
matmul,"(16, 16, 16, 10)",triton,1,"(4, 16, 32)",0.0110215,0.9424
matmul,"(16, 16, 16, 10)",triton,1,"(4, 16, 64)",0.0112757,0.9212
matmul,"(16, 16, 16, 10)",triton,1,"(4, 32, 8)",0.0106209,0.9779
matmul,"(16, 16, 16, 10)",triton,1,"(4, 32, 16)",0.0348408,0.2981
matmul,"(16, 16, 16, 10)",triton,1,"(4, 32, 32)",0.0112028,0.9272
matmul,"(16, 16, 16, 10)",triton,1,"(4, 32, 64)",0.0112888,0.9201
matmul,"(16, 16, 16, 10)",triton,1,"(4, 64, 8)",0.0111964,0.9277
matmul,"(16, 16, 16, 10)",triton,1,"(4, 64, 16)",0.0368972,0.2815
matmul,"(16, 16, 16, 10)",triton,1,"(4, 64, 32)",0.0191339,0.5428
matmul,"(16, 16, 16, 10)",triton,1,"(4, 64, 64)",0.0259544,0.4002
matmul,"(16, 16, 16, 10)",triton,1,"(8, 4, 8)",0.0106433,0.9759
matmul,"(16, 16, 16, 10)",triton,1,"(8, 4, 16)",0.0109659,0.9472
matmul,"(16, 16, 16, 10)",triton,1,"(8, 4, 32)",0.0111542,0.9312
matmul,"(16, 16, 16, 10)",triton,1,"(8, 4, 64)",0.0253444,0.4098
matmul,"(16, 16, 16, 10)",triton,1,"(8, 8, 8)",0.0110135,0.9431
matmul,"(16, 16, 16, 10)",triton,1,"(8, 8, 16)",0.0115917,0.896
matmul,"(16, 16, 16, 10)",triton,1,"(8, 8, 32)",0.0291143,0.3568
matmul,"(16, 16, 16, 10)",triton,1,"(8, 8, 64)",0.0135849,0.7646
matmul,"(16, 16, 16, 10)",triton,1,"(8, 8, 128)",0.0111016,0.9356
matmul,"(16, 16, 16, 10)",triton,1,"(8, 16, 8)",0.0191064,0.5436
matmul,"(16, 16, 16, 10)",triton,1,"(8, 16, 16)",0.0211831,0.4903
matmul,"(16, 16, 16, 10)",triton,1,"(8, 16, 32)",0.0109639,0.9474
matmul,"(16, 16, 16, 10)",triton,1,"(8, 16, 64)",0.0108501,0.9573
matmul,"(16, 16, 16, 10)",triton,1,"(8, 32, 8)",0.0111253,0.9336
matmul,"(16, 16, 16, 10)",triton,1,"(8, 32, 16)",0.038187,0.272
matmul,"(16, 16, 16, 10)",triton,1,"(8, 32, 32)",0.0141496,0.7341
matmul,"(16, 16, 16, 10)",triton,1,"(8, 32, 64)",0.0109178,0.9514
matmul,"(16, 16, 16, 10)",triton,1,"(8, 64, 8)",0.0117807,0.8817
matmul,"(16, 16, 16, 10)",triton,1,"(8, 64, 16)",0.0114049,0.9107
matmul,"(16, 16, 16, 10)",triton,1,"(8, 64, 32)",0.0113163,0.9179
matmul,"(16, 16, 16, 10)",triton,1,"(8, 64, 64)",0.0115358,0.9004
matmul,"(16, 16, 16, 10)",triton,1,"(16, 4, 8)",0.0150947,0.6881
matmul,"(16, 16, 16, 10)",triton,1,"(16, 4, 16)",0.0106014,0.9797
matmul,"(16, 16, 16, 10)",triton,1,"(16, 4, 32)",0.0107442,0.9667
matmul,"(16, 16, 16, 10)",triton,1,"(16, 4, 64)",0.0231809,0.4481
matmul,"(16, 16, 16, 10)",triton,1,"(16, 8, 8)",0.0115092,0.9025
matmul,"(16, 16, 16, 10)",triton,1,"(16, 8, 16)",0.0114075,0.9105
matmul,"(16, 16, 16, 10)",triton,1,"(16, 8, 32)",0.0110232,0.9423
matmul,"(16, 16, 16, 10)",triton,1,"(16, 8, 64)",0.0115144,0.9021
matmul,"(16, 16, 16, 10)",triton,1,"(16, 16, 8)",0.00252472,4.114
matmul,"(16, 16, 16, 10)",triton,1,"(16, 16, 16)",0.00171088,6.071
matmul,"(16, 16, 16, 10)",triton,1,"(16, 16, 32)",0.00165098,6.2912
matmul,"(16, 16, 16, 10)",triton,1,"(16, 16, 64)",0.00164244,6.3239
matmul,"(16, 16, 16, 10)",triton,1,"(16, 16, 128)",0.00261886,3.9661
matmul,"(16, 16, 16, 10)",triton,1,"(16, 32, 8)",0.00247542,4.1959
matmul,"(16, 16, 16, 10)",triton,1,"(16, 32, 16)",0.00234177,4.4354
matmul,"(16, 16, 16, 10)",triton,1,"(16, 32, 32)",0.00253485,4.0976
matmul,"(16, 16, 16, 10)",triton,1,"(16, 32, 64)",0.00235775,4.4053
matmul,"(16, 16, 16, 10)",triton,1,"(16, 64, 8)",0.00256383,4.0512
matmul,"(16, 16, 16, 10)",triton,1,"(16, 64, 16)",0.00239546,4.336
matmul,"(16, 16, 16, 10)",triton,1,"(16, 64, 32)",0.00210006,4.9459
matmul,"(16, 16, 16, 10)",triton,1,"(16, 64, 64)",0.00213217,4.8714
matmul,"(16, 16, 16, 10)",triton,1,"(32, 4, 8)",0.0196369,0.5289
matmul,"(16, 16, 16, 10)",triton,1,"(32, 4, 16)",0.010413,0.9975
matmul,"(16, 16, 16, 10)",triton,1,"(32, 4, 32)",0.0109966,0.9445
matmul,"(16, 16, 16, 10)",triton,1,"(32, 4, 64)",0.0112412,0.924
matmul,"(16, 16, 16, 10)",triton,1,"(32, 8, 8)",0.0254646,0.4079
matmul,"(16, 16, 16, 10)",triton,1,"(32, 8, 16)",0.0108808,0.9546
matmul,"(16, 16, 16, 10)",triton,1,"(32, 8, 32)",0.0110407,0.9408
matmul,"(16, 16, 16, 10)",triton,1,"(32, 8, 64)",0.0108392,0.9583
matmul,"(16, 16, 16, 10)",triton,1,"(32, 16, 8)",0.00251367,4.1321
matmul,"(16, 16, 16, 10)",triton,1,"(32, 16, 16)",0.00245739,4.2267
matmul,"(16, 16, 16, 10)",triton,1,"(32, 16, 32)",0.00250628,4.1443
matmul,"(16, 16, 16, 10)",triton,1,"(32, 16, 64)",0.00257362,4.0358
matmul,"(16, 16, 16, 10)",triton,1,"(32, 32, 8)",0.00247051,4.2043
matmul,"(16, 16, 16, 10)",triton,1,"(32, 32, 16)",0.00251332,4.1327
matmul,"(16, 16, 16, 10)",triton,1,"(32, 32, 32)",0.00215096,4.8289
matmul,"(16, 16, 16, 10)",triton,1,"(32, 32, 64)",0.00193735,5.3613
matmul,"(16, 16, 16, 10)",triton,1,"(32, 32, 128)",0.00189044,5.4943
matmul,"(16, 16, 16, 10)",triton,1,"(32, 64, 8)",0.00260685,3.9844
matmul,"(16, 16, 16, 10)",triton,1,"(32, 64, 16)",0.00259381,4.0044
matmul,"(16, 16, 16, 10)",triton,1,"(32, 64, 32)",0.0018843,5.5122
matmul,"(16, 16, 16, 10)",triton,1,"(32, 64, 64)",0.00191974,5.4105
matmul,"(16, 16, 16, 10)",triton,1,"(64, 4, 8)",0.0267633,0.3881
matmul,"(16, 16, 16, 10)",triton,1,"(64, 4, 16)",0.0175011,0.5935
matmul,"(16, 16, 16, 10)",triton,1,"(64, 4, 32)",0.011926,0.8709
matmul,"(16, 16, 16, 10)",triton,1,"(64, 4, 64)",0.0186986,0.5555
matmul,"(16, 16, 16, 10)",triton,1,"(64, 8, 8)",0.0306124,0.3393
matmul,"(16, 16, 16, 10)",triton,1,"(64, 8, 16)",0.0112999,0.9192
matmul,"(16, 16, 16, 10)",triton,1,"(64, 8, 32)",0.0123024,0.8443
matmul,"(16, 16, 16, 10)",triton,1,"(64, 8, 64)",0.0269508,0.3854
matmul,"(16, 16, 16, 10)",triton,1,"(64, 16, 8)",0.00272308,3.8143
matmul,"(16, 16, 16, 10)",triton,1,"(64, 16, 16)",0.00261051,3.9788
matmul,"(16, 16, 16, 10)",triton,1,"(64, 16, 32)",0.00248961,4.172
matmul,"(16, 16, 16, 10)",triton,1,"(64, 16, 64)",0.00273072,3.8036
matmul,"(16, 16, 16, 10)",triton,1,"(64, 32, 8)",0.00257813,4.0288
matmul,"(16, 16, 16, 10)",triton,1,"(64, 32, 16)",0.00266099,3.9033
matmul,"(16, 16, 16, 10)",triton,1,"(64, 32, 32)",0.00273996,3.7908
matmul,"(16, 16, 16, 10)",triton,1,"(64, 32, 64)",0.00198859,5.2231
matmul,"(16, 16, 16, 10)",triton,1,"(64, 64, 8)",0.00270266,3.8431
matmul,"(16, 16, 16, 10)",triton,1,"(64, 64, 16)",0.00270683,3.8372
matmul,"(16, 16, 16, 10)",triton,1,"(64, 64, 32)",0.00205289,5.0596
matmul,"(16, 16, 16, 10)",triton,1,"(64, 64, 64)",0.00336403,3.0876
matmul,"(16, 16, 16, 10)",triton,1,"(64, 64, 128)",0.00389303,2.668
matmul,"(16, 16, 16, 10)",triton,8,"(4, 4, 8)",0.0414643,0.2505
matmul,"(16, 16, 16, 10)",triton,8,"(4, 4, 16)",0.0461511,0.2251
matmul,"(16, 16, 16, 10)",triton,8,"(4, 4, 32)",0.0181298,0.5729
matmul,"(16, 16, 16, 10)",triton,8,"(4, 4, 64)",0.0351527,0.2955
matmul,"(16, 16, 16, 10)",triton,8,"(4, 4, 128)",0.0194379,0.5344
matmul,"(16, 16, 16, 10)",triton,8,"(4, 8, 8)",0.0188943,0.5497
matmul,"(16, 16, 16, 10)",triton,8,"(4, 8, 16)",0.0193408,0.537
matmul,"(16, 16, 16, 10)",triton,8,"(4, 8, 32)",0.0313629,0.3312
matmul,"(16, 16, 16, 10)",triton,8,"(4, 8, 64)",0.0234155,0.4436
matmul,"(16, 16, 16, 10)",triton,8,"(4, 16, 8)",0.023268,0.4464
matmul,"(16, 16, 16, 10)",triton,8,"(4, 16, 16)",0.0318381,0.3262
