benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 4)",0.00531161,1.0976
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 8)",0.00618258,0.943
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 16)",0.006536,0.892
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 32)",0.00776268,0.7511
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 64)",0.013714,0.4251
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 128)",0.0228167,0.2555
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 4)",0.00512169,1.1383
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 8)",0.00530132,1.0998
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 16)",0.00542207,1.0753
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 32)",0.00590716,0.987
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 64)",0.00873873,0.6672
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 128)",0.0140889,0.4138
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 4)",0.00546569,1.0667
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 8)",0.00585095,0.9965
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 16)",0.00634833,0.9184
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 32)",0.0068375,0.8527
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 64)",0.00993279,0.587
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 128)",0.0177673,0.3281
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 4)",0.00586053,0.9948
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 8)",0.00633108,0.9209
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 16)",0.00703009,0.8293
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 32)",0.00750634,0.7767
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 64)",0.0118288,0.4929
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 128)",0.0837074,0.0697
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 4)",0.009637,0.605
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 8)",0.0108645,0.5366
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 16)",0.012457,0.468
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 32)",0.0163349,0.3569
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 64)",0.106398,0.0548
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 128)",0.214392,0.0272
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 4)",0.0164435,0.3546
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 8)",0.0175961,0.3313
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 16)",0.0222517,0.262
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 32)",0.103915,0.0561
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 64)",0.201671,0.0289
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 128)",0.444044,0.0131
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 4)",0.00623004,0.9358
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 8)",0.00634291,0.9192
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 16)",0.00674563,0.8643
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 32)",0.00783497,0.7441
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 64)",0.0120589,0.4835
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 128)",0.020449,0.2851
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 4)",0.00542744,1.0742
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 8)",0.00546099,1.0676
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 16)",0.0056662,1.029
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 32)",0.0064215,0.9079
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 64)",0.00876915,0.6649
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 128)",0.0145713,0.4001
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 4)",0.00550069,1.0599
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 8)",0.00576311,1.0116
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 16)",0.00625708,0.9318
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 32)",0.00662521,0.88
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 64)",0.00956712,0.6094
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 128)",0.0243415,0.2395
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 4)",0.00575382,1.0133
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 8)",0.00622466,0.9366
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 16)",0.0070523,0.8267
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 32)",0.0083084,0.7017
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 64)",0.037622,0.155
matmul,"(32, 32, 32, 10)",triton,1,"(8, 32, 128)",0.0840707,0.0693
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 4)",0.00834952,0.6983
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 8)",0.00936033,0.6229
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 16)",0.0104191,0.5596
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 32)",0.0337952,0.1725
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 64)",0.0792327,0.0736
matmul,"(32, 32, 32, 10)",triton,1,"(8, 64, 128)",0.157938,0.0369
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 4)",0.0138698,0.4204
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 8)",0.015035,0.3878
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 16)",0.0325985,0.1788
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 32)",0.0746546,0.0781
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 64)",0.149507,0.039
matmul,"(32, 32, 32, 10)",triton,1,"(8, 128, 128)",0.329291,0.0177
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 4)",0.00648316,0.8993
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 8)",0.00675184,0.8635
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 16)",0.00751785,0.7755
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 32)",0.00780526,0.747
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 64)",0.0118419,0.4923
matmul,"(32, 32, 32, 10)",triton,1,"(16, 4, 128)",0.0218659,0.2666
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 4)",0.00560095,1.0409
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 8)",0.00554336,1.0518
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 16)",0.0059912,0.9731
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 32)",0.00636879,0.9154
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 64)",0.00936903,0.6223
matmul,"(32, 32, 32, 10)",triton,1,"(16, 8, 128)",0.0249595,0.2336
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 4)",0.00577341,1.0098
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 8)",0.00593912,0.9817
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 16)",0.00655783,0.8891
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 32)",0.0072223,0.8073
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 64)",0.0147274,0.3959
matmul,"(32, 32, 32, 10)",triton,1,"(16, 16, 128)",0.0671952,0.0868
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 4)",0.00599099,0.9732
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 8)",0.00616829,0.9452
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 16)",0.00692571,0.8418
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 32)",0.0132442,0.4402
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 64)",0.0370607,0.1573
matmul,"(32, 32, 32, 10)",triton,1,"(16, 32, 128)",0.0695949,0.0838
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 4)",0.00835844,0.6975
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 8)",0.00877936,0.6641
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 16)",0.0107876,0.5405
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 32)",0.034132,0.1708
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 64)",0.0654456,0.0891
matmul,"(32, 32, 32, 10)",triton,1,"(16, 64, 128)",0.132601,0.044
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 4)",0.0143548,0.4062
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 8)",0.0310866,0.1875
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 16)",0.0622195,0.0937
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 32)",0.0692836,0.0842
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 64)",0.1391,0.0419
matmul,"(32, 32, 32, 10)",triton,1,"(16, 128, 128)",0.308267,0.0189
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 4)",0.00690267,0.8446
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 8)",0.00744368,0.7832
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 16)",0.0074348,0.7842
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 32)",0.00794735,0.7336
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 64)",0.0120752,0.4828
matmul,"(32, 32, 32, 10)",triton,1,"(32, 4, 128)",0.0910798,0.064
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 4)",0.00555636,1.0493
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 8)",0.00608387,0.9583
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 16)",0.00654025,0.8914
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 32)",0.00740159,0.7877
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 64)",0.0120824,0.4825
matmul,"(32, 32, 32, 10)",triton,1,"(32, 8, 128)",0.0686048,0.085
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 4)",0.00572499,1.0184
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 8)",0.00606208,0.9618
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 16)",0.00661287,0.8817
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 32)",0.00811752,0.7182
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 64)",0.0321448,0.1814
matmul,"(32, 32, 32, 10)",triton,1,"(32, 16, 128)",0.0618651,0.0942
matmul,"(32, 32, 32, 10)",triton,1,"(32, 32, 4)",0.0046076,1.2654
matmul,"(32, 32, 32, 10)",triton,1,"(32, 32, 8)",0.00487006,1.1972
matmul,"(32, 32, 32, 10)",triton,1,"(32, 32, 16)",0.00589312,0.9893
