benchmark,shape,thread,parameter,time(s),speedup
matmul,"(32, 32, 32)",1,"(32, 32, 64)",0.00186331,6.0065
matmul,"(32, 32, 32)",8,"(32, 32, 32)",0.0019186,5.8334
matmul,"(32, 32, 32)",32,"(64, 32, 32)",0.00188113,5.9496
matmul,"(64, 64, 64)",1,"(64, 64, 16)",0.00210339,10.8354
matmul,"(64, 64, 64)",8,"(64, 64, 32)",0.00253072,9.0057
matmul,"(64, 64, 64)",32,"(64, 64, 32)",0.00228183,9.988
matmul,"(128, 128, 128)",1,"(32, 16, 8)",0.0144621,2.3405
matmul,"(128, 128, 128)",8,"(4, 8, 64)",0.0132828,2.5483
matmul,"(128, 128, 128)",32,"(4, 64, 16)",0.0136173,2.4857
matmul,"(256, 256, 256)",1,"(64, 16, 32)",0.0199593,4.0102
matmul,"(256, 256, 256)",8,"(32, 16, 16)",0.0184161,4.3462
matmul,"(256, 256, 256)",32,"(16, 16, 16)",0.016402,4.8799
matmul,"(512, 512, 512)",1,"(32, 16, 8)",0.0923351,4.4972
matmul,"(512, 512, 512)",8,"(64, 32, 8)",0.039027,10.6401
matmul,"(512, 512, 512)",32,"(64, 32, 64)",0.0313941,13.2271
dropout,"(1024,)",1,"(1024, 128)",0.00164877,17.0603
dropout,"(1024,)",8,"(1024, 16)",0.00216579,12.9876
dropout,"(1024,)",32,"(1024, 128)",0.00168274,16.7159
dropout,"(16384,)",1,"(16384, 16)",0.00333161,7.7809
dropout,"(16384,)",8,"(16384, 128)",0.00268394,9.6585
dropout,"(16384,)",32,"(16384, 16)",0.00326215,7.9466
dropout,"(262144,)",1,"(262144, 128)",0.00928107,7.2625
dropout,"(262144,)",8,"(262144, 64)",0.0100968,6.6758
dropout,"(262144,)",32,"(262144, 32)",0.00595079,11.3269
dropout,"(4194304,)",1,"(1024, 32)",0.106819,4.7925
dropout,"(4194304,)",8,"(1024, 32)",0.0369431,13.8574
dropout,"(4194304,)",32,"(4096, 32)",0.0295823,17.3054
correlation,"(1, 1, 64, 64)",1,"(2, 32)",0.0107173,1.0229
correlation,"(1, 1, 64, 64)",8,"(4, 4)",0.0113558,0.9653
correlation,"(1, 1, 64, 64)",32,"(2, 4)",0.0135236,0.8106
correlation,"(16, 16, 64, 64)",1,"(2, 32)",0.017798,1.5813
correlation,"(16, 16, 64, 64)",8,"(1, 32)",0.0125234,2.2474
correlation,"(16, 16, 64, 64)",32,"(2, 16)",0.0140635,2.0013
correlation,"(32, 32, 64, 64)",1,"(2, 32)",0.0253458,2.2869
correlation,"(32, 32, 64, 64)",8,"(1, 32)",0.0141105,4.1079
correlation,"(32, 32, 64, 64)",32,"(1, 32)",0.0131465,4.4091
correlation,"(64, 64, 64, 64)",1,"(2, 32)",0.0466595,1.712
correlation,"(64, 64, 64, 64)",8,"(2, 32)",0.0339682,2.3516
correlation,"(64, 64, 64, 64)",32,"(2, 32)",0.0176685,4.521
layernorm,"(64, 64)",1,"(64,)",0.00994047,2.2874
layernorm,"(64, 64)",8,"(64,)",0.0133986,1.697
layernorm,"(64, 64)",32,"(64,)",0.014336,1.5861
layernorm,"(256, 256)",1,"(32,)",0.0150957,1.1136
layernorm,"(256, 256)",8,"(16,)",0.0136096,1.2352
layernorm,"(256, 256)",32,"(16,)",0.0147948,1.1363
layernorm,"(1024, 1024)",1,"(16,)",0.0306204,2.7103
layernorm,"(1024, 1024)",8,"(16,)",0.0181641,4.5689
layernorm,"(1024, 1024)",32,"(64,)",0.0179469,4.6242
layernorm,"(4096, 4096)",1,"(16,)",0.197298,2.583
layernorm,"(4096, 4096)",8,"(64,)",0.0640739,7.9536
layernorm,"(4096, 4096)",32,"(16,)",0.0406421,12.5392
softmax,"(32, 1024)",1,"(64, 64)",0.0108961,3.2767
softmax,"(32, 1024)",8,"(1024, 16)",0.0111844,3.1922
softmax,"(32, 1024)",32,"(256, 32)",0.0138175,2.5839
softmax,"(128, 1024)",1,"(64, 16)",0.0138628,2.7623
softmax,"(128, 1024)",8,"(256, 64)",0.0108394,3.5328
softmax,"(128, 1024)",32,"(256, 8)",0.0114584,3.342
softmax,"(512, 1024)",1,"(256, 64)",0.0355278,1.9833
softmax,"(512, 1024)",8,"(1024, 64)",0.0150995,4.6664
softmax,"(512, 1024)",32,"(64, 32)",0.0154648,4.5562
softmax,"(512, 4096)",1,"(256, 128)",0.0623124,2.4807
softmax,"(512, 4096)",8,"(4096, 128)",0.0258353,5.9832
softmax,"(512, 4096)",32,"(64, 64)",0.0230298,6.7121
softmax,"(512, 16384)",1,"(16384, 128)",0.165337,3.5484
softmax,"(512, 16384)",8,"(16384, 64)",0.0492258,11.9183
softmax,"(512, 16384)",32,"(4096, 64)",0.0378764,15.4895
