benchmark,shape,thread,parameter,time(s),speedup
matmul,"(32, 32, 32)",1,"(32, 32, 4)",0.0046076,1.2654
matmul,"(32, 32, 32)",2,"(32, 32, 4)",0.00457908,1.2732
matmul,"(32, 32, 32)",4,"(32, 32, 4)",0.00455272,1.2806
matmul,"(32, 32, 32)",8,"(32, 32, 4)",0.00437855,1.3315
matmul,"(64, 64, 64)",1,"(4, 8, 4)",0.013997,1.3289
matmul,"(64, 64, 64)",2,"(4, 8, 4)",0.00997254,1.8652
matmul,"(64, 64, 64)",4,"(4, 8, 16)",0.00784363,2.3715
matmul,"(64, 64, 64)",8,"(4, 8, 4)",0.00710879,2.6166
matmul,"(128, 128, 128)",1,"(4, 8, 4)",0.0862763,1.4174
matmul,"(128, 128, 128)",2,"(4, 8, 4)",0.0506729,2.4133
matmul,"(128, 128, 128)",4,"(4, 8, 4)",0.0280767,4.3555
matmul,"(128, 128, 128)",8,"(4, 8, 4)",0.0174648,7.0019
softmax,"(32, 64)",1,"(64, 16)",0.00473702,1.3113
softmax,"(32, 64)",2,"(64, 16)",0.00484827,1.2812
softmax,"(32, 64)",4,"(64, 8)",0.00504894,1.2303
softmax,"(32, 64)",8,"(64, 16)",0.00577908,1.0748
softmax,"(128, 64)",1,"(64, 32)",0.00742897,1.1498
softmax,"(128, 64)",2,"(64, 16)",0.00643363,1.3277
softmax,"(128, 64)",4,"(64, 32)",0.0056432,1.5137
softmax,"(128, 64)",8,"(64, 32)",0.00617516,1.3833
softmax,"(128, 256)",1,"(256, 8)",0.0151025,1.5251
softmax,"(128, 256)",2,"(256, 4)",0.00996755,2.3108
softmax,"(128, 256)",4,"(256, 8)",0.00769106,2.9948
softmax,"(128, 256)",8,"(256, 4)",0.00740247,3.1115
dropout,"(512,)",1,"(1024, 32)",0.00368204,1.1472
dropout,"(512,)",2,"(1024, 4)",0.00360016,1.1733
dropout,"(512,)",4,"(1024, 8)",0.00375071,1.1262
dropout,"(512,)",8,"(1024, 4)",0.0036857,1.1461
dropout,"(1024,)",1,"(1024, 8)",0.00374683,1.2334
dropout,"(1024,)",2,"(1024, 32)",0.00371195,1.245
dropout,"(1024,)",4,"(1024, 8)",0.00369504,1.2507
dropout,"(1024,)",8,"(1024, 8)",0.00373054,1.2388
dropout,"(2048,)",1,"(256, 8)",0.00657982,0.7689
dropout,"(2048,)",2,"(1024, 16)",0.0057878,0.8741
dropout,"(2048,)",4,"(256, 4)",0.00544468,0.9292
dropout,"(2048,)",8,"(64, 8)",0.00605227,0.8359
conv2d,"(1, 1, 32, 32)",1,"(1, 4)",0.00395025,1.0953
conv2d,"(1, 1, 32, 32)",2,"(1, 16)",0.0045175,0.9577
conv2d,"(1, 1, 32, 32)",4,"(1, 32)",0.00478003,0.9051
conv2d,"(1, 1, 32, 32)",8,"(4, 8)",0.00576559,0.7504
conv2d,"(4, 4, 32, 32)",1,"(2, 2)",0.00576656,1.031
conv2d,"(4, 4, 32, 32)",2,"(1, 4)",0.00548567,1.0838
conv2d,"(4, 4, 32, 32)",4,"(2, 8)",0.00551,1.079
conv2d,"(4, 4, 32, 32)",8,"(1, 4)",0.00609417,0.9756
conv2d,"(4, 4, 64, 64)",1,"(1, 4)",0.0127643,1.0376
conv2d,"(4, 4, 64, 64)",2,"(1, 16)",0.013807,0.9592
conv2d,"(4, 4, 64, 64)",4,"(2, 8)",0.0087063,1.5212
conv2d,"(4, 4, 64, 64)",8,"(1, 8)",0.0076822,1.724
layernorm,"(64, 64)",1,"(4,)",0.0043373,1.1196
layernorm,"(64, 64)",2,"(8,)",0.00467425,1.0389
layernorm,"(64, 64)",4,"(4,)",0.0049338,0.9842
layernorm,"(64, 64)",8,"(4,)",0.00596544,0.814
layernorm,"(256, 256)",1,"(8,)",0.0113647,1.4354
layernorm,"(256, 256)",2,"(8,)",0.00937996,1.7391
layernorm,"(256, 256)",4,"(8,)",0.00727266,2.2431
layernorm,"(256, 256)",8,"(8,)",0.00690682,2.3619
layernorm,"(1024, 1024)",1,"(8,)",0.134479,1.485
layernorm,"(1024, 1024)",2,"(8,)",0.0818846,2.4387
layernorm,"(1024, 1024)",4,"(8,)",0.0443499,4.5027
layernorm,"(1024, 1024)",8,"(16,)",0.0325237,6.14
rope,"(64, 4, 4, 256)",1,"(4,)",0.377133,0.8336
rope,"(64, 4, 4, 256)",2,"(4,)",0.204846,1.5348
rope,"(64, 4, 4, 256)",4,"(4,)",0.11033,2.8495
rope,"(64, 4, 4, 256)",8,"(64,)",0.0650467,4.8333
rope,"(256, 1, 4, 256)",1,"(4,)",0.380775,0.7439
rope,"(256, 1, 4, 256)",2,"(4,)",0.197509,1.4341
rope,"(256, 1, 4, 256)",4,"(4,)",0.11033,2.5672
rope,"(256, 1, 4, 256)",8,"(64,)",0.0675122,4.1954
rope,"(256, 4, 4, 64)",1,"(4,)",0.403634,0.6198
rope,"(256, 4, 4, 64)",2,"(4,)",0.206843,1.2094
rope,"(256, 4, 4, 64)",4,"(4,)",0.108512,2.3054
rope,"(256, 4, 4, 64)",8,"(32,)",0.0687969,3.6362
