benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 4)",0.0104475,1.6447
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 8)",0.0130942,1.3122
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 16)",0.0207372,0.8286
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 32)",0.0155658,1.1039
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 64)",0.0153843,1.1169
matmul,"(64, 64, 64, 10)",triton,1,"(4, 4, 128)",0.0194926,0.8815
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 4)",0.0159732,1.0757
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 8)",0.0147635,1.1639
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 16)",0.0141703,1.2126
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 32)",0.0141572,1.2137
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 64)",0.0224718,0.7646
matmul,"(64, 64, 64, 10)",triton,1,"(4, 8, 128)",0.0166022,1.035
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 4)",0.0142103,1.2092
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 8)",0.014096,1.219
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 16)",0.0142357,1.207
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 32)",0.0140361,1.2242
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 64)",0.0158115,1.0867
matmul,"(64, 64, 64, 10)",triton,1,"(4, 16, 128)",0.038712,0.4439
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 4)",0.0148483,1.1572
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 8)",0.0135658,1.2666
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 16)",0.0139812,1.229
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 32)",0.0137476,1.2499
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 64)",0.0144726,1.1872
matmul,"(64, 64, 64, 10)",triton,1,"(4, 32, 128)",0.0165384,1.0389
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 4)",0.0191062,0.8993
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 8)",0.0175526,0.9789
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 16)",0.01479,1.1618
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 32)",0.0188015,0.9139
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 64)",0.0148978,1.1534
matmul,"(64, 64, 64, 10)",triton,1,"(4, 64, 128)",0.0171406,1.0024
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 4)",0.0273867,0.6274
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 8)",0.0369455,0.4651
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 16)",0.0202891,0.8469
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 32)",0.0253455,0.6779
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 64)",0.0186114,0.9232
matmul,"(64, 64, 64, 10)",triton,1,"(4, 128, 128)",0.028257,0.6081
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 4)",0.0351192,0.4893
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 8)",0.0159378,1.0781
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 16)",0.0165939,1.0355
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 32)",0.0154887,1.1094
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 64)",0.0166656,1.031
matmul,"(64, 64, 64, 10)",triton,1,"(8, 4, 128)",0.0209055,0.8219
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 4)",0.0181617,0.9461
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 8)",0.0152932,1.1235
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 16)",0.0133369,1.2883
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 32)",0.0164614,1.0438
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 64)",0.0144608,1.1882
matmul,"(64, 64, 64, 10)",triton,1,"(8, 8, 128)",0.014486,1.1861
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 4)",0.0161841,1.0617
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 8)",0.0124999,1.3746
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 16)",0.0128603,1.3361
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 32)",0.0124206,1.3834
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 64)",0.0146883,1.1698
matmul,"(64, 64, 64, 10)",triton,1,"(8, 16, 128)",0.0202782,0.8473
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 4)",0.0126916,1.3538
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 8)",0.0133436,1.2877
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 16)",0.0146573,1.1723
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 32)",0.012898,1.3322
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 64)",0.0137208,1.2523
matmul,"(64, 64, 64, 10)",triton,1,"(8, 32, 128)",0.0149493,1.1494
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 4)",0.0152256,1.1285
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 8)",0.0153774,1.1174
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 16)",0.0159423,1.0778
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 32)",0.0168454,1.02
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 64)",0.0135143,1.2714
matmul,"(64, 64, 64, 10)",triton,1,"(8, 64, 128)",0.0150619,1.1408
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 4)",0.0351474,0.4889
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 8)",0.0215976,0.7956
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 16)",0.022678,0.7577
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 32)",0.0209959,0.8184
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 64)",0.0210003,0.8182
matmul,"(64, 64, 64, 10)",triton,1,"(8, 128, 128)",0.023629,0.7272
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 4)",0.0296105,0.5803
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 8)",0.0198152,0.8671
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 16)",0.0268526,0.6399
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 32)",0.0167436,1.0262
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 64)",0.0138701,1.2388
matmul,"(64, 64, 64, 10)",triton,1,"(16, 4, 128)",0.0246963,0.6958
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 4)",0.0150916,1.1385
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 8)",0.0134565,1.2769
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 16)",0.01371,1.2533
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 32)",0.0133423,1.2878
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 64)",0.0122647,1.401
matmul,"(64, 64, 64, 10)",triton,1,"(16, 8, 128)",0.0243005,0.7071
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 4)",0.027846,0.6171
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 8)",0.01734,0.9909
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 16)",0.0135287,1.2701
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 32)",0.0132379,1.298
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 64)",0.0190873,0.9002
matmul,"(64, 64, 64, 10)",triton,1,"(16, 16, 128)",0.0134304,1.2794
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 4)",0.012516,1.3728
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 8)",0.011925,1.4409
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 16)",0.0126544,1.3578
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 32)",0.0131833,1.3034
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 64)",0.0210417,0.8166
matmul,"(64, 64, 64, 10)",triton,1,"(16, 32, 128)",0.0178108,0.9647
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 4)",0.0169213,1.0154
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 8)",0.0173653,0.9895
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 16)",0.0127421,1.3485
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 32)",0.0138294,1.2425
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 64)",0.0187019,0.9188
matmul,"(64, 64, 64, 10)",triton,1,"(16, 64, 128)",0.0143711,1.1956
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 4)",0.0174884,0.9825
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 8)",0.0162829,1.0552
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 16)",0.0145848,1.1781
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 32)",0.016642,1.0325
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 64)",0.0271726,0.6323
matmul,"(64, 64, 64, 10)",triton,1,"(16, 128, 128)",0.0207072,0.8298
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 4)",0.0149471,1.1496
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 8)",0.0144578,1.1885
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 16)",0.0142353,1.207
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 32)",0.0134172,1.2806
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 64)",0.0127614,1.3464
matmul,"(64, 64, 64, 10)",triton,1,"(32, 4, 128)",0.0150201,1.144
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 4)",0.0130191,1.3198
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 8)",0.0129135,1.3306
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 16)",0.0130564,1.316
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 32)",0.0128636,1.3357
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 64)",0.0127925,1.3432
matmul,"(64, 64, 64, 10)",triton,1,"(32, 8, 128)",0.0199553,0.861
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 4)",0.0130079,1.3209
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 8)",0.014297,1.2018
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 16)",0.0126369,1.3597
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 32)",0.0129186,1.3301
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 64)",0.0131402,1.3076
matmul,"(64, 64, 64, 10)",triton,1,"(32, 16, 128)",0.013363,1.2858
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 4)",0.0124847,1.3763
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 8)",0.0224179,0.7665
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 16)",0.0169434,1.0141
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 32)",0.0145415,1.1816
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 64)",0.0131196,1.3097
matmul,"(64, 64, 64, 10)",triton,1,"(32, 32, 128)",0.0137557,1.2491
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 4)",0.0189962,0.9045
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 8)",0.0243514,0.7056
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 16)",0.025647,0.67
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 32)",0.0145887,1.1778
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 64)",0.0130675,1.3149
matmul,"(64, 64, 64, 10)",triton,1,"(32, 64, 128)",0.0138223,1.2431
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 4)",0.0147338,1.1662
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 8)",0.0142887,1.2025
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 16)",0.0134733,1.2753
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 32)",0.0262936,0.6535
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 64)",0.0162172,1.0595
matmul,"(64, 64, 64, 10)",triton,1,"(32, 128, 128)",0.0156705,1.0965
matmul,"(64, 64, 64, 10)",triton,1,"(64, 4, 4)",0.0144831,1.1864
matmul,"(64, 64, 64, 10)",triton,1,"(64, 4, 8)",0.0136972,1.2545
