benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 4)",0.0052785,1.0769
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 8)",0.00624455,0.9103
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 16)",0.00654238,0.8688
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 32)",0.00772627,0.7357
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 64)",0.0135043,0.4209
matmul,"(32, 32, 32, 10)",triton,1,"(4, 4, 128)",0.0225423,0.2522
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 4)",0.00518204,1.0969
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 8)",0.00578088,0.9833
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 16)",0.00559475,1.016
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 32)",0.00610142,0.9316
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 64)",0.00893853,0.6359
matmul,"(32, 32, 32, 10)",triton,1,"(4, 8, 128)",0.0140799,0.4037
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 4)",0.00570434,0.9965
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 8)",0.00582067,0.9766
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 16)",0.00621672,0.9144
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 32)",0.00690272,0.8235
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 64)",0.00993691,0.572
matmul,"(32, 32, 32, 10)",triton,1,"(4, 16, 128)",0.0176878,0.3214
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 4)",0.00584538,0.9725
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 8)",0.00649847,0.8747
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 16)",0.00673614,0.8439
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 32)",0.00746943,0.761
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 64)",0.0115983,0.4901
matmul,"(32, 32, 32, 10)",triton,1,"(4, 32, 128)",0.0832296,0.0683
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 4)",0.00929278,0.6117
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 8)",0.0110103,0.5163
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 16)",0.0123656,0.4597
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 32)",0.0167428,0.3395
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 64)",0.105512,0.0539
matmul,"(32, 32, 32, 10)",triton,1,"(4, 64, 128)",0.214618,0.0265
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 4)",0.0159939,0.3554
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 8)",0.0174791,0.3252
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 16)",0.0226586,0.2509
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 32)",0.103536,0.0549
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 64)",0.201387,0.0282
matmul,"(32, 32, 32, 10)",triton,1,"(4, 128, 128)",0.450279,0.0126
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 4)",0.00599709,0.9478
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 8)",0.00624192,0.9107
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 16)",0.00679297,0.8368
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 32)",0.00800035,0.7105
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 64)",0.0122136,0.4654
matmul,"(32, 32, 32, 10)",triton,1,"(8, 4, 128)",0.020468,0.2777
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 4)",0.00550363,1.0328
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 8)",0.00548071,1.0372
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 16)",0.00561471,1.0124
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 32)",0.00625401,0.9089
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 64)",0.00881315,0.645
matmul,"(32, 32, 32, 10)",triton,1,"(8, 8, 128)",0.0143101,0.3972
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 4)",0.00544708,1.0436
matmul,"(32, 32, 32, 10)",triton,1,"(8, 16, 8)",0.00575309,0.988
